entity_id,total_comments
do_1137277348012195841200,150
do_1143329470620631041396,40
do_113569958119809024135,4
do_114094402308440064114_rc,106
do_1142155196302868481949,127
do_1143033522120048641340,8
do_114085356224651264150,71
do_113729186519785472154,148
do_1141661125498716161881,65
do_1142601429582315521201,93
do_114170270906155008110,384
do_1141311466135715841188_rc,186
do_113569888573227008128,2
do_11419375418191052819,90
do_1144327061492940801256,23
do_1138934472381480961267,130
do_1143839872889569281818,59
do_11433231918447820811058,30
do_1138919127811194881247,18
do_1140046371909632001236,379
do_11435005363677593611533,64
do_114400385328504832118,20
do_1144611395467837441160,72
do_1138179704791695361235,34
do_1143225735566213121188,8
do_1142353279934955521263,492
do_1136259357084549121520,18
do_1138906960422010881220,7
do_113967839456239616124,4
do_1138241203831848961457,3
do_1142729657036390401160,51
do_11387779022034534419,16
do_114299013095571456160,7
do_1142876745118842881212,9
do_1144406101124546561465,1
do_114190091620720640141,15
do_1144505096641413121712,5
do_1143648118154444801630,33
do_113940888645599232124,1
do_1135948232130478081150,1
do_1140103490519285761318,1
do_1140910346423500801168,1
do_1142876415794298881376,2
do_114430720436527104171,7
do_113961302435315712122,16
do_1140116518036684801310,14
do_1143322855990149121796,37
do_113722043160109056188,1
do_114433542568116224135,49
do_1143313805555220481872,37
do_113569880104288256138,1
do_113956369201438720137,266
do_113718650972864512124,38
do_1143463542517841921750,44
do_114434996166975488173,32
do_1142005822565335041217,44
do_1142339865574195201174,8
do_11433724849047142411256,41
do_1144468202012016641715,121
do_1142389082083328001147,49
do_114168710188253184133,318
do_1141832138037166081136,92
do_11422054348468224011163,54
do_1142933723497594881451,2
do_113814235713298432171,149
do_1141297935500820481111,479
do_114168179450306560155,59
do_1144376616376647681183,14
do_114283489493319680137,86
do_1143967327411650561358,56
do_114422769493360640131,91
do_1144773146063912961797,45
do_113828976050888704151,58
do_1142742479323545601119,42
do_113700260278886400157,12
do_1143280433422254081309,31
do_114168163810181120127,32
do_114485161629663232117,15
do_11364357254382387211424,5
do_1143775125235056641372,22
do_113813348671266816121,3
do_1142898251314053121280,5
do_113691704011915264133,14
do_1139275061430927361137,108
do_114192801203986432116,1
do_1142721538971320321423,54
do_1142992903553679361199,50
do_1142749102986035201272,54
do_1143669481013329921829,14
do_114085898026459136148,3
do_114272737539137536164_rc,2
do_1140684959683543041264,20
do_11438684175355084811011,115
do_1143117910847569921567,22
do_11401231000526028818,42
do_113772346890584064143,1
do_114366194999607296133,22
do_114169598117937152171,20
do_114168781100359680149,13
do_1143034203263959041504,6
do_1141660063652823041518,21
do_1144533452557516801875,14
do_1138120680664023041217,59
do_114457268630085632123,58
do_1144185124433018881920,18
do_1138977289489285121382,12
do_1144802542703329281294,13
do_114188014193696768157,26
do_1143831682204958721784,30
do_114284271272427520162,43
do_1140811592095825921665,10
do_113725721420865536138,41
do_1144188050538250241222,2
do_1138220217125683201363,3
do_1134150641828495361367,65
do_113967826290049024113,1
do_1144454639134064641477,11
do_1142750505460203521450,18
do_1138884164974755841152,39
do_114208338981109760152,20
do_1144362118422528001190,2
do_1142898733537935361366,13
do_1141064385832386561314,1
do_1142126057674915841749,15
do_114169674535608320180,2
do_1143028307305431041364,5
do_1141849578577592321129,141
do_114244387829751808128,52
do_1143155307513446401779,67
do_1142099531554488321147,126
do_1140987840402227201416,1
do_1142346856902246401566,3
do_114054127630360576185,50
do_11438809369042944011127,47
do_1141107922784911361319,25
do_1141555650764308481710,5
do_113852493857366016150,94
do_1140427301767659521277,652
do_1143130600409251841469,394
do_11438325669795430411,79
do_1142005081508003841219,1184
do_1141533540853432321675,1323
do_11447029044844134411129,3613
do_1143168372950466561872,1
do_1143834149266554881830,52
do_1141957355303485441164,82
do_11417019282599116817,85
do_1141361442504704001248,252
do_1143097627794800641277,4
do_1144433276914401281390,14
do_1143450523334492161781,198
do_1142114066177310721226,755
do_114169671463124992181,20
do_1143761489783357441127,661
do_114128475785494528193,1
do_1143041058697625601554,3
do_114126999639212032168,835
do_1138969994154803201401,43
do_1144440093244456961449,8
do_11436274159878144016,48
do_11448229199911321611,25
do_1141533822488903681320,1
do_1142877361144954881187,7
do_114169522972311552164,25
do_11426519317867724812,97
do_1142883795865600001213,8
do_113654820736327680139,1
do_11364568145728307211458,19
do_1138111354399129601192,45
do_1143026472819015681332,21
do_114126285701505024164,11
do_1136109428558725121364,5
do_1144455693593067521644,4
do_1143564646364037121236,15
do_114342850185043968170,6
do_1142876617537126401186,6
do_1141163484096512001417,11
do_1142963118331740161263,17
do_11417010132389888012_rc,1
do_11387724194251571211,4
do_113956384438853632152_rc,1
do_114197808115130368178,16
do_114168792816615424126,9
do_1138119816283176961203,1
do_114095917432209408154,2
do_1143463922033623041761_rc,3
do_1143988404915732481807,4243
do_1144461584281108481697,3
ext_11430952709610700811,2
do_1140442263826022401297,659
do_1142974759319388161358,3272
do_1142224805784616961312,980
do_11426553536436633619,2
do_114168729589358592142,123
do_1144541843767623681928,44
do_11432368077119488017,16
do_1135439240931983361170,6
do_114168774764298240122,46
do_1144513046576087041748,17
do_113534546178564096112,270
do_1143925781276672001479,28
do_114123363121938432122,2
do_114170269369630720123,857
do_114254365851557888135,12
do_11408328446201036817,5
do_114017409019920384165,447
do_1140759093870510081506,131
do_113923174474121216195,2667
do_1143245150366023681143,101
do_1142876340018544641401,6
do_11445262737725030411028,6
do_114183159373856768176,3
do_114356287882911744119,25
do_1143838509682114561762,38
do_1142339476335902721116,270
do_1143084760673402881663,119
do_1142876511978946561203,3
do_11433744286273536011022,250
do_1141304974038630401177,1
do_114362800619782144196,121
do_1135898661159075841231,3
do_1140116560499916801353,1
do_1138686130297487361181,14
do_11448155398104678411078,50
do_1141348559125708801220_rc,3
do_1142204539055882241219,29
do_1142692021685944321324,1
do_1140455562957291521321,112
do_1141846171714928641161,12
do_1142404357721128961722,16
do_1143019200097730561130,53
do_1143861200064921601233,43
do_1138120582228295681213,123
do_11427269752615731215,62
do_1142034950385745921439,24
do_114054307851231232151,42
do_1144377652256768001186,79
do_114234637507297280145,6
do_1143613514074275841875,72
