entity_id,total_comments
do_1137277348012195841200,150
do_1143329470620631041396,40
do_113569958119809024135,4
do_114094402308440064114_rc,106
do_1142155196302868481949,127
do_1143033522120048641340,8
do_114085356224651264150,71
do_113729186519785472154,148
do_1141661125498716161881,65
do_1142601429582315521201,93
do_114170270906155008110,384
do_1141311466135715841188_rc,186
do_113569888573227008128,2
do_11419375418191052819,90
do_1144327061492940801256,23
do_1138934472381480961267,130
do_1143839872889569281818,59
do_11433231918447820811058,30
do_1138919127811194881247,18
do_1140046371909632001236,379
