entity_id,comment
do_1137277348012195841200,informative 
do_1137277348012195841200,assessment m next question ka option nahi aa raha hai sir please solve this problem 
do_1137277348012195841200,good 
do_1137277348012195841200,it is very suggestion for future
do_1137277348012195841200,nice
do_1137277348012195841200,very nice 
do_1137277348012195841200,good one
do_1137277348012195841200,very nice 
do_1137277348012195841200,विद्यालयों में पढ़ाई के अलावा अन्य काम नहीं थोपें जाएं 
do_1137277348012195841200,very helpful video 
do_1137277348012195841200,done 👍
do_1137277348012195841200,great information 
do_1137277348012195841200,the video is not running
do_1137277348012195841200,solve the issue
do_1137277348012195841200,Good
do_1137277348012195841200,course completed
do_1137277348012195841200,solve the issue
do_1137277348012195841200,plz all course also provide hindi language
do_1137277348012195841200,please provide the same  course  for Govt of Rajasthan employee
do_1137277348012195841200,If possible please provide those course in hindi language. 
do_1137277348012195841200,if possible please provide this course in hindi language. 
do_1137277348012195841200,I have completed the course but still it is being shown under the In Progress category and the certificate is not being generated. Please resolve the issue.
do_1137277348012195841200,I have completed the course but still it is being shown under the In Progress category and the certificate is not being generated. Please resolve the issue.
do_1137277348012195841200,nice
do_1137277348012195841200,Very informative 
do_1137277348012195841200,R/Sir very important information in simple words 
do_1137277348012195841200,course not showing as completed 
do_1137277348012195841200,This course offered excellent content. Highly interactive format of the course kept me focused.
do_1137277348012195841200,good
do_1137277348012195841200,Very good course
do_1137277348012195841200,👍
do_1137277348012195841200,Very good information for us 
do_1137277348012195841200,useful 
do_1137277348012195841200,B FR 1965 
do_1137277348012195841200,very useful for us
do_1137277348012195841200,Useful
do_1137277348012195841200,good content 
do_1137277348012195841200,good
do_1137277348012195841200,Good 
do_1137277348012195841200,good 
do_1137277348012195841200,good 
do_1137277348012195841200,VERY GOOD ELABORATED
do_1137277348012195841200,good .
do_1137277348012195841200,Financial Effects of Minor Penalties is not opening and unable to complete
do_1137277348012195841200,good 
do_1137277348012195841200,Good one
do_1137277348012195841200,Financial Effects of Minor Penalties is not functioning
do_1137277348012195841200,good session 
do_1137277348012195841200,"despite completing the 17min training and assessment, I m not able to generate Certificate. plz help"
do_1137277348012195841200,same problem with me.. completed video 2 times and done assessment. unable to generate certificate.
do_1137277348012195841200,very good
do_1137277348012195841200,good session 
do_1137277348012195841200,Financial Effects of Minor Penalties is not functioning
do_1137277348012195841200,now working and it's a good session 
do_1137277348012195841200,jay hind 
do_1137277348012195841200,jay hind 
do_1137277348012195841200,👍
do_1137277348012195841200,not working properly 
do_1137277348012195841200,only 17 min video
do_1137277348012195841200,very improper 
do_1137277348012195841200,certificate generated today
do_1137277348012195841200,This content is not streaming. Please try to sort it out.
do_1137277348012195841200,There is no content..I have done assesment...please rectify it and give permission to complete the course.
do_1137277348012195841200,arun
do_1137277348012195841200,not working..pl check
do_1137277348012195841200,Video not play. Pls check.
do_1137277348012195841200,Ok
do_1137277348012195841200,100
do_1137277348012195841200,🙂🙂🙂🙂🙂🙂
do_1137277348012195841200,well explained 
do_1137277348012195841200,After Minor not able to access Major penalties content!!
do_1137277348012195841200,well explained 
do_1137277348012195841200,ok
do_1137277348012195841200,not able to access major penalty and non submission of assessment
do_1137277348012195841200,very informative course
do_1137277348012195841200,✌️
do_1137277348012195841200,50% is not playing 
do_1137277348012195841200,outstanding teaching
do_1137277348012195841200,"enroll this topic but only 50% progress shown, next video not available. "
do_1137277348012195841200,only 17 mnts video. 50% completed. please upload the next video
do_1137277348012195841200,only one video is available. next video for increment withholding is not available.
do_1137277348012195841200,questions after 2 nd are not displayed
do_1137277348012195841200,good 
do_1137277348012195841200,NICE INFORMATION.... CLARIFICATION REQUIRED FOR Q3
do_1137277348012195841200,Very useful 
do_1137277348012195841200,Good 
do_1137277348012195841200,Certficat
do_1137277348012195841200,👍
do_1137277348012195841200,good 
